counts	n_gram
2306	here to
1706	kill here
1203	to here
910	write it
637	bar here
582	dock say
532	ship air
524	run get
436	steal here
387	2 chuck
386	more more
368	chuck chuck
362	press lickop
329	slaw run
318	print psych
310	kit doll
304	here click
285	last last
280	up up
273	ship sun
269	psych dock
266	run ellis
265	space say
255	odd print
255	psych run
252	quit it
250	psych ship
248	chuck ship
246	downer say
241	here kill
240	press leach
236	psych here
226	kit sit
220	comment here
215	passit space
213	self dock
208	here run
203	undo undo
202	die fail
198	nex nex
198	stack here
196	kit psych
196	press lease
196	psych sit
192	3 chuck
191	ship whale
190	copy last
188	slaw slaw
187	sote say
186	last fox
186	lickop last
184	ship odd
181	kit say
180	here write
178	cd snap
175	run it
174	last paste
170	kit til
165	sit chuck
159	sit sote
156	sit larry
156	phipps here
153	cd dockdock
152	right chuck
150	kill til
150	eekert psych
150	it quit
149	spamma psych
148	chuck space
147	dress lickop
146	odd tap
145	sit spamma
142	go to
140	2 right
138	kip sit
135	odd skate
133	chuck say
132	kip say
129	air ship
126	commy air
124	sote psych
123	psych til
122	larry psych
122	ship sit
122	psych spamma
120	fox Chrome
120	block here
119	it run
116	fox iTerm2
115	skate click
115	ship mad
115	space passit
114	right dock
113	psych square
113	dock psych
113	run here
113	dockdock slaw
112	click pit
111	slash say
111	1 0
109	psych eekert
109	close buff
109	skate pit
109	tap tap
109	psych kit
108	fox TextEdit
107	til party
107	mortar mortar
104	paste all
104	psych doll
102	spamma say
100	uncomment here
100	skate ship
99	it fox
97	mad ship
96	here ship
95	sit say
94	corey cap
94	square sote
92	psych write
92	chuck psych
91	kip til
91	ship gone
89	kit each
89	ship near
88	right spamma
88	til downer
87	chuck skate
87	click chuck
86	near pit
85	here kit
85	kill fail
85	colon space
84	passit slaw
83	force quit
82	get diff
82	0 dock
82	get add
81	kip psych
81	copy fox
80	slaw chuck
80	lickop fox
80	lint psych
79	odd chuck
79	work say
79	here rangle
78	4 chuck
78	work work
78	psych right
77	odd psych
77	skate odd
77	each say
76	pit dock
76	psych larry
75	slaw up
75	sit space
75	chuck right
74	last copy
74	larry sote
74	skate write
74	here bar
74	ship urge
73	pit kill
73	chuck slaw
73	here odd
73	here pit
73	each trap
71	say test
70	click odd
70	here undo
70	psych air
69	paste slaw
69	gone vest
69	work chuck
69	sit tap
68	dash say
68	kit air
68	bang doll
67	cd dash
67	gone gone
67	sun ship
67	cd here
67	open dockert
66	snap desktop
66	psych chuck
66	spamma sote
66	lesser lesser
66	space chuck
66	phipps sit
66	pie block
65	ellis cd
65	skate kill
65	say exit
65	para pie
64	sit lack
64	sit near
63	ship trap
63	sift psych
63	paste skate
